HR00104 15061508  30.05 130.25
HR00104 15061509  29.95 129.81
HR00104 15061510  29.95 129.81
HR00105 15061604  33.35 137.62
HR00106 15061605  31.30 130.44
HR00107 15061607  31.40 128.88
HR00107 15061608  31.40 128.88
HR00108 15061609  31.60 134.88
HR00109 15061610  31.20 135.00
HR00109 15061611  31.20 135.00
HR00110 15061709  28.95 132.69
HR00111 15061722  30.65 130.19
HR00112 15061800  30.25 130.88
HR00112 15061801  30.20 131.25
HR00113 15061802  30.20 131.31
HR00114 15061803  30.30 132.00
HR00115 15061804  30.45 132.75
HR00115 15061805  30.45 132.88
HR00116 15061909  27.40 128.75
HR00117 15062104  28.75 131.00
HR00117 15062105  28.90 131.44
HR00118 15062110  26.30 129.56
HR00118 15062111  26.30 129.62
HR00118 15062112  26.25 129.56
HR00119 15062112  26.35 130.44
HR00120 15062116  25.65 125.94
HR00121 15062117  26.00 125.81
HR00122 15062118  26.00 125.81
HR00123 15062307  28.30 127.81
HR00123 15062308  28.30 127.81
HR00123 15062309  28.30 127.81
HR00124 15062320  27.85 129.19
HR00125 15062321  27.70 129.31
HR00126 15062510  30.85 130.25
HR00127 15062511  30.80 130.31
HR00127 15062512  30.80 130.25
HR00127 15062513  30.55 130.94
HR00127 15062514  30.55 130.94
HR00128 15062515  30.55 130.94
HR00129 15062516  30.65 130.94
HR00129 15062517  30.60 131.00
HR00130 15062518  30.50 131.00
HR00130 15062519  30.50 131.00
HR00131 15062513  30.30 131.00
HR00131 15062514  30.35 131.00
HR00131 15062515  30.30 131.12
HR00131 15062516  30.30 131.19
HR00131 15062517  30.30 131.19
HR00131 15062518  30.30 131.19
HR00132 15062705  33.90 139.69
HR00133 15062807  40.15 142.06
HR00134 15062807  29.55 130.81
HR00134 15062808  29.55 130.88
HR00135 15062809  29.45 131.75
HR00135 15062810  29.50 132.06
HR00136 15062822  28.75 131.25
HR00136 15062823  28.75 131.44
HR00137 15062904  28.80 132.69
HR00137 15062905  28.80 132.69
HR00137 15062906  28.80 132.81
HR00137 15062907  28.80 132.88
HR00138 15062910  27.65 129.19
HR00139 15062911  27.60 129.25
HR00139 15062912  27.50 129.00
HR00139 15062912  27.75 128.44
HR00139 15062913  27.50 129.12
HR00139 15062914  27.50 129.12
HR00139 15062915  27.65 128.75
HR00139 15062916  27.65 128.75
