df1_i,df2_i,df1_hrid,df2_hrid,dist_grid,overlap_h,center_diff_h,score,n_candidates,df1_dtst,df1_dten,df1_lat,df1_lon,df2_dtst,df2_dten,df2_lat,df2_lon
1,3,HR00299,HR00847,0.0,5.0,1.0,0.2,1,2009100803,2009100809,37.45,141.19,2009100802,2009100808,37.45,141.19
2,12,HR00349,HR00788,0.0,5.0,3.5,0.7000000000000001,1,2018080521,2018080602,38.5,139.38,2018080511,2018080605,38.5,139.38
3,13,HR00401,HR00967,0.0,6.0,0.5,0.1,1,2019081003,2019081009,39.7,139.56,2019081002,2019081009,39.7,139.56
5,16,HR00809,HR01679,0.0,4.0,2.5,0.5,1,2022080305,2022080310,40.45,139.62,2022080301,2022080309,40.45,139.62
6,18,HR00862,HR01802,0.0,5.0,0.0,0.0,1,2022080904,2022080909,40.55,139.94,2022080904,2022080909,40.55,139.94
7,23,HR01035,HR02460,0.0,5.0,0.5,0.1,1,2024092002,2024092007,39.75,139.0,2024092001,2024092007,39.75,139.0
8,24,HR00171,HR00491,0.0,6.0,1.0,0.2,1,2000070804,2000070811,38.35,141.5,2000070803,2000070810,38.35,141.5
9,28,HR00294,HR00684,0.0,5.0,0.5,0.1,1,2002071102,2002071107,38.25,141.0,2002071102,2002071108,38.25,141.0
10,33,HR00461,HR01231,0.0,5.0,1.0,0.2,1,2007090519,2007090600,37.85,140.69,2007090517,2007090600,37.85,140.69
11,34,HR00478,HR01262,0.2817800560721053,6.0,0.5,0.3817800560721053,1,2007090705,2007090712,39.15,140.88,2007090705,2007090711,38.9,140.75
12,37,HR00346,HR00998,0.0,5.0,0.5,0.1,1,2008082822,2008082903,37.1,140.62,2008082822,2008082904,37.1,140.62
13,45,HR00578,HR01320,0.0,5.0,0.0,0.0,1,2012093022,2012100103,38.95,140.75,2012093021,2012100104,38.95,140.75
14,48,HR00180,HR00457,0.0,4.0,1.0,0.2,1,2013072216,2013072221,38.2,139.88,2013072217,2013072222,38.2,139.88
16,51,HR00240,HR00609,0.0,5.0,1.0,0.2,1,2013080907,2013080914,39.65,140.94,2013080909,2013080914,39.65,140.94
17,58,HR00428,HR01036,0.0,8.0,0.5,0.1,1,2015091020,2015091104,38.5,140.75,2015091020,2015091105,38.5,140.75
18,63,HR00438,HR01122,0.0,5.0,0.0,0.0,1,2016083014,2016083019,39.7,141.75,2016083013,2016083020,39.7,141.75
19,64,HR00475,HR01244,0.0,5.0,0.5,0.1,1,2016090823,2016090904,39.6,142.0,2016090822,2016090904,39.6,142.0
20,66,HR00278,HR00631,0.0,7.0,1.5,0.30000000000000004,1,2017072214,2017072221,39.35,140.44,2017072210,2017072222,39.35,140.44
21,67,HR00279,HR00637,0.0,6.0,0.0,0.0,1,2017072300,2017072306,39.65,140.44,2017072223,2017072307,39.65,140.44
22,70,HR00453,HR01035,0.0,6.0,0.5,0.1,1,2017091722,2017091804,39.35,141.94,2017091722,2017091805,39.35,141.94
25,73,HR00453,HR01129,0.0,6.0,0.5,0.1,1,2019082723,2019082805,39.3,141.75,2019082721,2019082806,39.3,141.75
28,19,HR00866,HR01803,0.2332380757938107,5.0,1.0,0.4332380757938107,1,2022080909,2022080914,40.35,140.06,2022080907,2022080918,40.55,139.94
29,82,HR00879,HR01847,0.0,6.0,0.0,0.0,1,2022081221,2022081303,40.15,140.62,2022081221,2022081303,40.15,140.62
30,86,HR00569,HR01219,0.0,5.0,0.5,0.1,1,2023081204,2023081209,39.35,141.81,2023081204,2023081210,39.35,141.81
32,91,HR00642,HR01508,0.0,6.0,0.0,0.0,1,2024072519,2024072601,38.8,140.06,2024072519,2024072601,38.8,140.06
33,90,HR00645,HR01507,0.0,5.0,0.5,0.1,1,2024072519,2024072600,40.0,140.19,2024072518,2024072600,40.0,140.19
